Temp,Humidity,RainToday
24.3,29,0
26.9,36,1
23.4,69,1
15.5,56,1
16.1,49,1
16.9,57,0
18.2,47,0
17,57,0
19.5,48,0
22.8,32,1
25.2,34,0
27.3,35,0
27.9,29,0
30.9,20,0
31.2,16,0
32.1,22,0
31.2,23,0
30,26,1
32.3,25,0
33.4,27,0
33.4,26,0
19.4,72,0
18.5,79,1
24.3,57,0
28.4,31,0
26.9,48,0
22.2,55,0
28,31,0
24.3,80,0
24.1,49,0
20.4,90,1
26.3,46,1
24.2,60,0
26.5,40,1
21.8,63,0
26.8,54,0
25.8,74,0
28.2,42,1
29.4,24,0
24.8,37,0
18.5,63,0
21.5,51,0
20.3,49,0
27.1,37,0
29.9,36,0
21.1,86,1
21.7,40,1
20.9,43,0
21,54,0
23.1,74,1
29.5,48,1
22,62,1
20.4,49,1
24.4,43,0
21.7,52,1
26.3,35,0
26.7,64,0
28.3,44,1
31.6,30,0
35,18,0
33.5,20,0
34.2,20,0
35,14,0
23.4,55,0
25.3,45,0
27.5,40,0
34.1,34,0
33.9,36,0
30.3,44,0
29.9,45,0
34.2,25,0
35.8,24,0
35.7,28,0
33.8,35,1
22.8,57,0
33.8,26,0
33.2,62,0
25.1,42,1
20.4,55,0
19.6,88,1
24.7,71,1
19.9,58,0
22.5,46,0
24.4,38,0
27.8,29,0
25.7,32,0
28.8,28,0
31.3,28,0
33.2,18,0
33.9,22,0
34.9,29,0
27.8,49,1
23.8,49,1
28.8,44,0
29.6,38,0
22.6,76,1
22.8,71,1
27.4,41,0
24.2,76,0
19.9,58,1
20.9,51,0
23.1,37,0
26,34,0
24.2,60,1
18.2,73,1
24.2,37,0
25.2,32,0
26.1,40,0
24.1,46,0
25.8,42,0
27.1,38,0
28.9,31,0
24.8,56,1
28.6,42,1
25.1,32,0
23.8,34,0
25.9,35,0
28.2,27,0
27.6,25,0
17.3,78,0
18.4,34,1
21.8,31,0
24.4,37,0
27.3,28,0
28.2,28,0
27.6,35,0
31.8,24,0
29.2,34,0
27.4,39,1
27.8,33,0
31.7,28,0
34.7,18,0
31.7,23,0
33.1,18,0
33.8,15,0
35.2,15,0
32.3,17,0
30.2,22,0
29.9,30,0
26.2,48,0
29.3,35,0
14.8,62,0
19.6,64,0
24.9,44,0
22.4,68,0
17.4,93,1
20.2,50,1
18.3,36,0
18.2,35,0
18.5,30,0
18.9,34,0
18.8,42,0
21.8,34,0
23.3,26,0
14.3,40,1
18.9,33,0
21.4,27,0
21.8,35,0
20.5,48,0
18.9,45,0
19.5,49,0
22.9,28,0
23.4,29,0
24.1,32,0
19.8,56,1
18,40,1
20.7,36,0
19.3,39,0
21,44,0
19.7,43,0
16.1,51,0
18.7,65,0
20.6,34,0
18.9,49,0
19,43,0
21.2,55,0
20.9,42,0
21.7,34,0
18.7,51,0
11.3,60,1
13.8,40,0
14.8,40,0
13.8,54,0
17.3,38,0
17.1,42,0
16.7,42,0
19,41,0
16.8,53,0
17.6,43,0
18.1,44,0
21,36,0
20.9,41,0
17.4,52,0
19.2,47,0
19,34,0
18.6,44,0
17.9,40,0
16,69,1
12.3,78,0
14.1,53,0
18.1,36,0
17,52,0
17.4,47,0
14.7,43,0
14.8,49,0
14.5,43,0
17.5,48,0
18.5,50,1
18.1,55,1
16.8,50,0
17.5,45,0
18,46,0
18.5,38,0
14,67,0
15.7,67,0
14.4,86,0
15.1,65,1
15.1,65,0
16.7,42,0
15.5,42,0
14.5,70,0
16.3,65,0
13.7,94,1
15,65,1
16.4,48,0
13,58,0
11.8,49,0
14.7,57,0
16.9,51,0
15.5,58,0
15.5,70,0
15.9,63,0
11.7,86,1
13.9,59,0
14,44,0
12.9,53,0
13,69,0
12.6,54,0
11.8,48,0
14.3,51,0
14.8,41,0
16,38,0
15.4,68,0
11.7,56,1
13.1,53,0
11.5,53,0
12,52,0
14.2,55,0
14,59,0
11.1,96,0
9.5,72,1
8.8,68,0
8.7,85,0
8.4,66,1
11.1,54,0
11,69,0
16.5,51,0
13.6,46,0
12.8,62,0
11.5,55,0
10.6,73,0
11.6,48,1
11,87,0
11.6,56,1
11.6,33,0
11.2,48,0
12.2,51,0
12.9,25,0
11.3,50,0
9.7,66,0
10.7,56,1
12.2,49,0
12.2,48,0
14.1,38,0
9.7,82,0
11.5,56,1
12.8,48,0
12.3,60,0
10.9,72,0
14.1,48,1
11.1,78,0
12.5,62,1
9.6,70,0
7.6,68,0
9.3,60,0
10.4,63,0
12.2,41,0
10.7,45,0
14.7,51,0
14.2,27,0
11.6,35,0
12.5,30,0
13.1,47,0
14,36,0
14.1,27,0
12.2,44,0
11.6,38,0
14.4,28,0
14.2,34,0
17.3,23,0
15.1,23,0
14.7,43,0
16.2,45,0
16.3,45,0
17.2,85,1
14.8,34,1
16.7,44,0
12.1,51,0
11.3,61,0
12.4,73,0
16.1,33,0
16.7,33,0
15.5,37,0
14.7,25,0
15.2,35,0
16.6,20,0
21.6,27,0
25.5,31,0
19.4,43,1
19.7,33,1
13.2,33,1
14.1,43,0
18,36,0
23.3,30,0
23.3,15,0
19.5,25,0
21.9,50,0
16.2,44,1
17.3,33,0
18.7,32,0
20.9,35,0
25.7,25,0
24.3,25,0
18.9,32,0
16.8,34,0
20.6,16,0
27.6,21,0
28.9,22,0
20.7,65,1
21.3,46,1
18,40,0
16,45,1
17.9,33,0
20,22,0
22,25,0
22.4,30,0
23.9,27,0
26.1,47,0
21.1,61,1
19.6,42,0
21,30,0
24.1,34,0
24.7,31,0
28.5,30,0
27.4,20,0
20.6,28,0
15,24,0
18,25,0
20.7,29,0
25.5,16,0
26.1,20,0
30.7,15,0
28.4,22,0
19.9,47,0
26.9,39,0
30.2,13,0